SNP,count,Frequency
0,114555,0.729700807062915
1,30651,0.195242978807432
2,8323,0.0530164533820841
3,2259,0.0143895432164037
4,640,0.00407671875099529
5,265,0.00168801635783399
6,110,0.000700686035327316
7,69,0.00043952124034168
8,43,0.000273904541082496
9,26,0.000165616699259184
10,14,8.9178222678022e-05
11,11,7.00686035327316e-05
12,4,2.54794921937206e-05
13,1,6.36987304843014e-06
14,6,3.82192382905809e-05
15,4,2.54794921937206e-05
18,1,6.36987304843014e-06
20,1,6.36987304843014e-06
21,1,6.36987304843014e-06
25,1,6.36987304843014e-06
26,2,1.27397460968603e-05
32,1,6.36987304843014e-06
35,1,6.36987304843014e-06
