SNP,count,Frequency
0,188085,0.726923835031943
1,51429,0.198766333901469
2,13757,0.0531689991149451
3,3737,0.0144430144430144
4,1039,0.0040155986101932
5,333,0.00128700128700129
6,140,0.000541081622162703
7,65,0.000251216467432684
8,57,0.000220297517594815
9,29,0.000112081193162274
10,21,8.11622433244055e-05
11,15,5.79730309460039e-05
12,10,3.86486872973359e-05
13,6,2.31892123784016e-05
14,4,1.54594749189344e-05
15,3,1.15946061892008e-05
17,4,1.54594749189344e-05
18,2,7.72973745946719e-06
22,1,3.86486872973359e-06
24,1,3.86486872973359e-06
27,1,3.86486872973359e-06
28,1,3.86486872973359e-06
30,1,3.86486872973359e-06
