SNP,count,Frequency
0,242150,0.726243746775916
1,66882,0.200589032714709
2,17523,0.0525540746428014
3,4695,0.0140810009957172
4,1253,0.00375793274709982
5,428,0.0012836354475329
6,174,0.000521851794090478
7,97,0.000290917379464232
8,69,0.000206941228691052
9,41,0.000122965077917871
10,23,6.89804095636839e-05
11,22,6.59812613217846e-05
12,16,4.79863718703888e-05
13,11,3.29906306608923e-05
14,10,2.9991482418993e-05
15,5,1.49957412094965e-05
16,6,1.79948894513958e-05
17,3,8.9974447256979e-06
18,1,2.9991482418993e-06
20,5,1.49957412094965e-05
21,1,2.9991482418993e-06
22,2,5.9982964837986e-06
24,3,8.9974447256979e-06
25,1,2.9991482418993e-06
26,1,2.9991482418993e-06
27,1,2.9991482418993e-06
29,2,5.9982964837986e-06
34,2,5.9982964837986e-06
35,1,2.9991482418993e-06
