SNP,count,Frequency
0,25128,0.74228996809642
1,6273,0.185306628855016
2,1646,0.0486234195911615
3,481,0.0142089093701997
4,150,0.00443105281814959
5,82,0.00242230887392178
6,31,0.000915750915750916
7,25,0.000738508803024932
8,15,0.000443105281814959
9,11,0.00032494387333097
11,1,2.95403521209973e-05
12,2,5.90807042419946e-05
13,1,2.95403521209973e-05
14,1,2.95403521209973e-05
15,1,2.95403521209973e-05
18,1,2.95403521209973e-05
19,1,2.95403521209973e-05
21,1,2.95403521209973e-05
22,1,2.95403521209973e-05
