SNP,count,Frequency
0,144738,0.725518306131451
1,40059,0.200801018566788
2,10569,0.0529785058347035
3,2811,0.0140905080803625
4,808,0.00405020652043149
5,251,0.00125817058988651
6,103,0.00051630107871837
7,59,0.000295745278100814
8,27,0.000135341059469864
9,23,0.000115290532140995
10,12,6.01515819866062e-05
11,6,3.00757909933031e-05
12,6,3.00757909933031e-05
13,5,2.50631591610859e-05
14,5,2.50631591610859e-05
15,2,1.00252636644344e-05
16,1,5.01263183221719e-06
17,2,1.00252636644344e-05
18,1,5.01263183221719e-06
20,3,1.50378954966516e-05
21,2,1.00252636644344e-05
22,1,5.01263183221719e-06
23,1,5.01263183221719e-06
30,1,5.01263183221719e-06
