SNP,count,Frequency
0,88973,0.726909533574621
1,24172,0.197485273572497
2,6478,0.0529252689972957
3,1773,0.0144854124625201
4,546,0.00446082075833953
5,209,0.00170753029028015
6,98,0.000800660136112223
7,59,0.000482030081945114
8,28,0.000228760038889207
9,26,0.000212420036111406
10,9,7.35300125001021e-05
11,6,4.90200083334014e-05
12,2,1.63400027778005e-05
13,1,8.17000138890024e-06
14,2,1.63400027778005e-05
15,2,1.63400027778005e-05
16,3,2.45100041667007e-05
17,1,8.17000138890024e-06
18,1,8.17000138890024e-06
19,3,2.45100041667007e-05
20,1,8.17000138890024e-06
21,1,8.17000138890024e-06
22,1,8.17000138890024e-06
24,2,1.63400027778005e-05
27,1,8.17000138890024e-06
39,1,8.17000138890024e-06
