SNP,count,Frequency
0,159267,0.730441841480082
1,42657,0.195636620467616
2,11385,0.0522147109272526
3,3045,0.0139651993652599
4,919,0.00421478430761046
5,337,0.00154557378853615
6,156,0.000715458489648783
7,94,0.000431109602737087
8,64,0.000293521431650783
9,39,0.000178864622412196
10,22,0.000100897992129957
11,14,6.42078131736087e-05
12,11,5.04489960649783e-05
13,11,5.04489960649783e-05
14,5,2.29313618477174e-05
15,4,1.83450894781739e-05
16,3,1.37588171086304e-05
18,1,4.58627236954348e-06
19,2,9.17254473908696e-06
22,1,4.58627236954348e-06
24,1,4.58627236954348e-06
26,2,9.17254473908696e-06
33,1,4.58627236954348e-06
36,1,4.58627236954348e-06
