SNP,count,Frequency
0,49553,0.727981900718389
1,13213,0.194111857086192
2,3635,0.0534016953385535
3,1050,0.015425524100545
4,337,0.00495085868750826
5,112,0.00164538923739147
6,59,0.000866767544697292
7,40,0.000587639013354097
8,31,0.000455420235349425
9,11,0.000161600728672377
10,11,0.000161600728672377
11,3,4.40729260015572e-05
12,3,4.40729260015572e-05
13,1,1.46909753338524e-05
14,5,7.34548766692621e-05
15,1,1.46909753338524e-05
16,2,2.93819506677048e-05
17,1,1.46909753338524e-05
23,1,1.46909753338524e-05
