V1,V2
68,1
63,1
59,0
60,0
89,3
88,1
87,0
98,1
97,0
95,0
96,0
94,1
90,2
93,0
92,0
81,0
80,1
74,0
70,0
75,0
72,0
73,0
71,0
34,1
38,1
39,0
41,0
42,0
40,1
35,0
37,0
36,0
23,0
30,1
31,0
32,0
33,0
29,0
25,0
26,0
27,4
28,2
22,0
24,1
21,0
20,0
32,0
31,0
30,0
33,0
29,0
23,0
22,0
25,0
55,0
61,0
57,0
56,0
58,0
60,0
59,1
54,0
53,1
62,0
79,0
84,0
81,1
82,1
83,0
80,0
90,1
87,2
89,0
85,0
52,1
95,1
94,0
66,0
71,0
70,0
69,0
68,0
73,0
67,1
72,1
65,0
74,0
50,0
45,0
51,0
52,0
54,0
60,0
57,0
56,1
53,1
58,0
59,0
55,1
46,1
48,0
49,0
47,0
65,0
68,0
66,0
76,2
69,0
67,0
73,0
71,0
75,0
74,0
72,0
70,0
36,0
35,0
37,0
38,0
33,2
122,2
91,0
90,0
89,0
115,1
117,0
118,1
111,1
104,1
119,0
109,0
114,0
108,0
113,0
110,0
120,1
112,1
105,0
107,0
106,1
121,0
116,0
77,5
80,1
81,0
65,0
64,0
63,0
62,2
33,2
32,1
57,1
56,0
55,0
60,0
58,1
61,1
54,0
59,0
68,0
52,0
51,0
66,0
49,0
53,0
67,0
21,0
24,0
19,0
18,0
17,0
23,0
20,0
22,0
40,2
169,2
165,1
166,0
164,1
132,0
131,0
133,0
134,0
135,0
138,0
141,1
140,0
139,0
123,0
116,0
117,0
124,2
121,0
122,0
98,0
99,0
100,0
101,0
108,0
102,0
104,1
105,1
106,0
103,1
107,2
110,0
109,1
33,0
35,1
36,1
31,0
29,0
30,0
34,0
32,0
37,0
38,0
72,1
74,0
75,0
73,1
76,0
28,0
50,1
64,0
49,0
66,0
65,0
47,0
42,0
44,0
43,1
41,0
45,0
53,0
69,1
68,0
67,0
71,0
70,1
63,0
58,0
61,0
56,0
62,1
57,0
60,3
59,0
52,0
51,0
54,0
40,0
48,2
46,1
55,0
68,0
24,0
23,0
20,0
22,0
21,0
25,0
28,0
29,0
26,0
27,1
18,1
11,0
16,1
12,0
17,0
15,0
14,0
13,0
19,2
9,1
10,0
79,3
77,2
55,0
56,0
54,0
53,1
64,0
65,0
52,0
51,0
85,1
61,1
17,0
12,0
14,0
18,0
16,1
15,1
13,1
74,2
90,0
94,0
95,1
93,2
91,0
92,0
84,2
87,0
89,1
88,1
56,0
51,1
52,0
53,0
50,0
48,0
49,0
55,0
54,1
64,1
62,0
58,1
66,1
61,1
57,3
63,0
67,0
69,0
68,0
59,0
46,1
45,0
44,0
47,0
43,0
42,2
41,0
47,3
46,0
41,0
29,0
42,0
43,0
118,1
119,1
117,0
127,0
128,0
120,0
122,0
123,0
124,0
126,0
125,0
111,1
121,1
116,0
114,1
115,0
112,0
113,1
44,0
28,0
105,0
106,0
73,1
33,0
32,0
30,0
31,1
45,0
52,0
50,1
51,3
64,0
61,0
63,1
62,1
60,0
65,0
58,1
56,0
57,0
59,0
49,0
66,2
53,0
54,0
55,0
78,1
92,0
87,1
91,0
90,1
88,3
89,0
81,0
85,0
84,0
95,0
97,1
96,0
94,1
98,1
83,0
93,0
86,0
82,0
79,0
77,0
80,0
40,2
86,0
79,1
83,0
82,0
84,0
81,1
85,0
80,2
68,0
64,0
63,0
66,2
69,0
75,0
76,1
73,0
74,0
71,0
70,0
72,0
36,1
38,1
22,0
24,0
23,0
28,0
29,0
32,0
31,0
33,0
34,0
30,0
26,2
27,0
35,1
15,0
16,0
18,2
17,0
44,1
43,0
41,1
42,1
68,1
70,1
69,0
78,1
76,0
77,0
75,0
73,0
74,0
79,0
71,0
72,0
80,0
122,2
121,0
53,0
52,0
14,4
18,1
11,0
10,0
9,0
12,0
15,0
16,0
14,2
17,2
13,0
48,0
51,0
49,1
50,1
54,1
53,1
52,0
56,1
57,1
58,0
59,0
45,0
55,2
47,2
41,1
44,2
46,1
43,0
42,0
35,0
36,0
37,1
38,0
40,0
39,1
101,0
93,0
94,0
97,0
102,0
96,0
91,0
98,0
95,0
86,0
99,0
87,0
88,0
90,0
89,0
92,0
100,0
104,1
103,2
105,1
104,0
80,0
78,0
77,0
76,0
70,0
72,0
71,0
74,0
68,0
75,0
66,0
69,0
73,0
67,0
83,0
65,0
85,0
64,0
79,0
89,0
100,0
90,0
88,0
101,0
91,1
98,1
95,0
97,0
94,0
96,0
99,0
92,1
93,1
44,1
43,0
42,0
45,0
41,0
169,1
159,6
168,1
124,0
117,0
118,0
120,0
123,0
122,0
121,0
119,1
130,0
127,0
126,0
133,0
129,1
132,0
131,1
128,1
28,1
39,4
81,0
82,0
83,2
43,0
42,0
41,0
44,1
35,1
36,0
29,3
34,4
31,0
32,0
38,0
37,0
33,0
30,1
46,2
40,0
73,0
74,0
72,0
69,0
70,1
71,2
68,0
66,1
65,0
67,0
63,0
62,0
64,2
55,1
51,1
52,0
53,0
56,0
59,1
57,1
58,0
60,0
61,0
54,0
208,1
210,0
205,1
216,2
30,5
32,0
31,0
28,0
29,0
26,2
37,0
36,0
38,0
35,1
59,0
58,0
87,0
51,0
53,2
54,0
57,0
55,0
56,0
52,1
91,2
77,0
78,0
64,0
72,0
63,0
62,1
61,2
60,1
71,0
65,0
70,1
69,0
67,0
68,1
66,0
74,2
90,1
86,1
88,1
84,0
85,1
83,0
89,0
52,0
53,0
48,0
51,0
50,0
49,1
47,0
133,0
132,0
134,0
116,1
136,1
130,4
138,0
117,0
115,0
131,0
120,0
123,3
121,0
124,0
125,0
126,1
129,2
127,1
128,1
122,0
111,2
108,0
109,0
112,2
110,0
106,0
107,0
103,0
104,0
105,0
114,0
113,0
102,0
101,0
140,1
139,0
96,0
97,0
98,0
95,0
81,3
79,0
77,2
76,1
74,0
81,1
71,2
72,0
78,0
80,0
75,0
73,0
86,3
119,0
120,0
117,0
116,2
115,0
118,0
113,1
114,1
112,1
41,0
40,0
39,0
42,0
34,2
36,1
35,0
33,0
31,0
32,0
37,0
38,0
50,0
53,1
54,0
55,1
49,1
45,2
51,0
52,1
47,0
48,0
63,0
64,0
65,1
71,2
78,0
77,0
76,0
75,1
74,2
73,0
72,1
91,3
88,0
89,3
87,1
95,1
93,0
94,0
90,0
92,1
84,0
80,0
83,0
81,0
82,1
85,3
79,0
86,0
96,1
27,0
25,0
26,0
28,1
24,0
51,1
44,0
45,0
96,1
93,1
90,1
91,0
95,0
94,0
92,0
99,0
100,0
98,0
69,0
77,0
78,3
79,0
80,0
83,0
85,0
84,0
82,0
86,0
81,0
76,0
70,0
71,0
74,0
73,0
75,0
72,1
27,1
41,0
34,2
44,0
37,0
40,1
36,1
42,3
56,0
51,0
50,0
55,0
54,0
45,1
53,1
52,0
49,0
46,0
47,0
48,0
57,2
58,0
38,1
43,3
39,1
35,3
63,0
64,0
61,1
62,0
60,0
59,0
65,0
89,0
81,0
80,0
88,0
83,1
90,0
84,0
82,1
85,1
71,0
87,1
86,0
78,0
75,1
76,1
79,0
77,0
73,0
74,0
72,1
103,1
102,0
83,1
82,0
81,1
69,0
70,1
72,1
73,0
74,0
75,1
71,0
76,0
78,1
77,0
79,0
80,0
91,0
95,0
99,0
84,0
96,0
93,0
85,0
100,0
87,1
89,0
88,0
94,0
90,0
98,0
86,0
92,0
97,0
50,0
60,0
59,0
58,0
57,0
56,0
55,0
54,0
40,0
36,0
41,0
35,1
37,0
38,1
39,0
34,0
33,0
47,0
48,0
49,1
25,0
24,0
18,0
23,0
22,0
26,1
27,1
20,0
21,0
19,1
15,0
13,0
12,1
11,0
14,0
9,0
10,0
159,4
155,0
156,0
186,1
187,0
188,0
180,0
202,0
203,0
185,0
184,2
182,0
183,0
192,1
191,1
193,0
181,1
189,0
168,0
167,1
173,0
172,1
171,0
100,1
92,0
99,1
97,0
96,0
95,0
98,1
94,0
93,0
119,0
120,0
130,0
129,1
132,1
131,0
133,1
123,2
122,1
124,0
126,0
121,0
128,0
125,0
127,0
135,0
136,0
134,0
115,1
112,0
113,0
114,0
107,1
110,0
108,0
111,0
109,0
106,1
15,0
11,0
10,0
36,0
34,0
32,0
37,0
38,0
35,0
30,0
42,0
39,1
33,0
31,0
40,0
41,0
21,0
23,0
22,1
28,1
18,0
20,0
24,0
25,0
26,0
27,0
19,0
29,1
60,1
57,0
61,1
39,2
43,0
51,0
52,0
44,2
40,1
58,0
49,0
47,0
41,0
53,1
59,4
14,0
30,0
31,2
27,0
32,0
26,0
29,0
17,0
16,0
15,0
19,0
18,0
33,0
24,0
21,0
34,1
25,0
22,1
23,1
36,0
35,0
28,0
20,1
64,0
62,0
50,0
48,0
46,0
42,1
93,0
82,2
81,1
99,0
98,2
97,1
95,1
96,0
84,0
89,0
91,0
85,0
88,2
90,1
87,1
86,0
92,0
83,0
79,0
78,3
45,1
56,2
63,1
65,1
16,4
39,1
42,0
38,0
40,0
90,1
80,0
82,0
83,0
81,1
86,0
85,0
46,0
47,0
66,1
61,0
60,1
62,1
59,1
57,0
58,0
65,1
64,0
63,1
54,0
51,0
52,0
49,0
50,0
55,0
56,0
53,1
67,1
71,0
72,1
76,0
73,1
75,0
74,0
77,0
69,0
68,0
70,0
48,0
89,0
91,0
27,0
26,3
37,1
34,0
91,0
92,0
89,0
88,0
86,0
87,0
90,0
85,2
84,0
80,0
76,5
73,0
78,1
79,0
77,0
70,2
71,0
69,0
74,1
75,1
72,1
68,1
67,1
81,1
88,0
85,0
87,0
86,1
84,0
83,0
15,0
16,0
17,3
19,2
18,0
20,0
13,0
14,0
21,3
12,1
32,0
35,0
34,0
31,0
33,1
43,1
42,0
38,0
41,0
37,0
40,0
39,0
36,2
30,0
47,0
45,0
46,0
29,0
23,4
24,1
36,0
37,0
38,0
43,0
77,0
79,0
75,0
80,0
76,0
72,0
81,1
74,0
73,0
78,0
82,1
71,0
61,0
66,1
67,1
69,0
68,0
58,0
59,1
70,0
63,0
64,0
57,0
62,0
65,0
60,0
56,2
83,0
92,0
85,0
88,0
87,0
86,0
90,0
89,0
94,0
93,0
95,1
115,2
116,0
117,0
118,1
37,0
38,0
39,0
40,0
42,0
41,0
51,0
47,0
45,0
46,1
49,0
48,0
32,1
29,1
22,0
24,0
27,0
25,3
23,0
26,0
33,4
19,3
20,0
21,0
30,0
28,1
60,1
61,1
72,0
96,2
70,2
94,0
95,1
68,2
81,0
79,0
82,0
83,0
77,0
78,0
84,0
80,1
92,0
88,0
87,0
90,0
89,1
91,0
74,0
75,1
105,0
106,0
98,0
103,1
100,1
99,0
102,0
101,0
107,0
104,0
108,0
73,0
93,0
86,0
85,0
41,2
39,0
38,1
42,0
32,6
58,0
59,0
57,1
62,1
61,0
60,0
73,0
82,0
84,0
83,0
85,1
86,0
87,0
88,2
89,0
81,1
76,0
79,1
80,1
78,1
77,0
75,0
74,0
30,1
31,1
32,1
36,0
34,0
35,1
33,1
27,0
26,0
40,0
44,1
43,1
41,0
42,0
39,0
12,1
9,0
10,0
11,2
16,0
17,0
15,0
14,0
19,1
21,0
20,0
18,1
13,0
23,0
22,0
69,0
73,0
80,0
81,0
83,0
79,1
82,1
84,0
77,0
76,0
78,1
75,1
74,1
127,0
128,2
123,0
129,0
130,1
54,4
55,2
49,0
61,2
60,0
62,0
59,0
58,0
57,1
51,0
50,0
53,0
83,1
78,1
93,0
90,0
92,1
99,1
100,0
91,0
98,0
96,0
95,0
97,1
94,0
18,0
20,0
19,0
14,0
15,0
152,0
156,1
168,1
170,0
172,0
171,0
160,2
150,0
161,0
155,0
157,1
154,3
153,0
158,0
159,0
166,0
163,0
164,0
165,0
167,1
162,0
83,0
85,0
84,1
64,0
72,0
67,1
65,1
69,0
66,0
63,0
68,0
71,0
70,1
74,0
75,0
76,0
73,1
77,0
62,0
58,0
59,0
51,1
50,1
49,0
54,1
53,1
52,0
110,2
111,0
109,0
114,0
108,2
107,0
106,7
91,0
92,0
116,1
105,1
93,0
104,0
112,0
113,0
102,1
99,0
100,0
101,2
97,1
98,0
95,0
96,0
94,0
45,1
44,0
14,0
17,0
16,0
15,0
13,1
12,0
21,1
22,0
20,0
23,3
19,0
31,0
30,0
34,0
32,0
33,0
27,0
26,0
39,3
113,0
114,0
118,0
