SNP,count,Frequency
0,241049,0.749502506125393
1,60099,0.186868027312414
2,14896,0.0463166797258809
3,3861,0.0120051490616022
4,1047,0.00325547554195739
5,334,0.00103851846324142
6,116,0.000360683059089835
7,73,0.000226981580289293
8,41,0.000127482805367959
9,23,7.15147444747087e-05
10,16,4.97493874606669e-05
11,16,4.97493874606669e-05
12,8,2.48746937303334e-05
13,9,2.79840304466251e-05
14,8,2.48746937303334e-05
15,5,1.55466835814584e-05
16,3,9.32801014887504e-06
17,3,9.32801014887504e-06
19,1,3.10933671629168e-06
21,1,3.10933671629168e-06
27,1,3.10933671629168e-06
28,1,3.10933671629168e-06
31,1,3.10933671629168e-06
