SNP,count,Frequency
0,173925,0.74136512632086
1,44300,0.188831249653667
2,11585,0.0493817161904681
3,3078,0.0131201486779681
4,904,0.00385335100873398
5,350,0.00149189474895674
6,164,0.000699059253796872
7,95,0.000404942860431115
8,67,0.000285591280514576
9,39,0.000166239700598037
10,27,0.000115089023490948
11,17,7.24634592350416e-05
12,10,4.26255642559068e-05
13,9,3.83630078303162e-05
14,7,2.98378949791348e-05
15,6,2.55753385535441e-05
16,2,8.52511285118137e-06
17,2,8.52511285118137e-06
18,1,4.26255642559068e-06
19,4,1.70502257023627e-05
20,1,4.26255642559068e-06
23,2,8.52511285118137e-06
24,1,4.26255642559068e-06
25,2,8.52511285118137e-06
26,1,4.26255642559068e-06
27,1,4.26255642559068e-06
31,1,4.26255642559068e-06
