SNP,count,Frequency
0,203803,0.748191957238412
1,51385,0.188642187419694
2,12462,0.0457499063856032
3,3234,0.0118725082050265
4,907,0.00332973560357423
5,294,0.00107931892772969
6,119,0.000436867185033444
7,61,0.000223940321739833
8,54,0.000198242252031983
9,27,9.91211260159915e-05
10,6,2.20269168924426e-05
11,7,2.56980697078497e-05
12,8,2.93692225232568e-05
13,9,3.30403753386638e-05
14,6,2.20269168924426e-05
15,2,7.34230563081419e-06
16,2,7.34230563081419e-06
17,4,1.46846112616284e-05
20,1,3.67115281540709e-06
21,1,3.67115281540709e-06
24,1,3.67115281540709e-06
27,1,3.67115281540709e-06
