SNP,count,Frequency
0,85092,0.739139876479939
1,21910,0.190318181423347
2,5785,0.0502506015305369
3,1551,0.013472546754341
4,425,0.00369170365608957
5,175,0.00152011327015453
6,62,0.000538554415711891
7,46,0.000399572631012048
8,27,0.000234531761680985
9,14,0.000121609061612362
10,18,0.000156354507787323
11,7,6.08045308061812e-05
12,3,2.60590846312205e-05
13,3,2.60590846312205e-05
14,1,8.68636154374017e-06
15,1,8.68636154374017e-06
17,1,8.68636154374017e-06
18,1,8.68636154374017e-06
19,1,8.68636154374017e-06
