V1,V2
139,0
138,0
153,1
154,2
145,0
144,0
146,0
148,2
147,1
151,0
157,0
162,1
160,0
150,2
149,0
142,1
158,0
155,0
152,0
143,0
43,2
46,1
49,1
102,2
101,0
88,0
71,0
96,0
100,2
99,1
97,0
98,0
75,0
74,0
76,0
73,0
77,1
82,0
81,1
80,0
79,0
78,0
85,0
86,0
83,0
84,0
87,0
72,1
95,0
89,0
92,0
91,0
94,0
90,0
93,1
104,1
107,1
34,0
36,0
35,0
37,0
38,4
27,0
28,0
29,1
23,1
24,3
22,0
26,0
25,0
40,0
39,0
33,0
31,2
59,1
65,0
66,0
63,0
64,1
62,0
61,0
121,0
122,1
70,2
72,0
68,0
89,0
84,0
87,0
76,0
77,1
86,1
85,0
79,0
80,0
81,0
78,0
74,0
82,0
75,0
83,1
88,0
71,0
66,4
69,0
67,0
37,0
35,0
51,0
50,0
36,0
49,1
42,1
41,1
40,0
43,0
38,0
39,0
44,0
46,0
45,0
47,0
48,1
20,0
28,0
17,2
22,0
24,0
27,0
26,0
25,0
23,0
21,1
10,0
9,0
15,0
14,0
12,0
13,0
11,0
7,0
8,0
16,0
100,0
101,0
104,0
99,1
103,0
111,0
124,0
125,0
117,0
122,1
121,0
120,0
123,0
119,0
116,2
118,0
113,0
112,0
114,0
115,4
102,1
107,0
105,0
108,2
106,0
109,1
158,0
160,0
161,0
146,0
144,0
150,0
145,0
147,2
148,0
143,0
149,1
151,0
156,0
152,0
154,0
155,3
153,3
157,0
159,1
78,0
79,2
80,0
77,0
76,0
81,0
74,2
75,0
45,0
27,0
56,0
55,0
26,0
63,0
57,0
58,1
59,0
60,0
61,0
64,0
65,0
70,0
67,0
68,2
69,3
66,0
62,0
31,0
50,2
42,0
47,0
49,0
48,0
46,0
43,0
36,0
33,0
37,0
38,0
40,0
39,0
41,0
34,0
35,0
30,0
51,0
52,0
53,1
54,1
29,0
28,0
44,0
85,0
88,2
84,0
86,0
87,2
12,1
14,0
13,0
10,0
9,0
11,1
15,0
22,1
20,0
21,0
23,0
25,0
33,1
32,2
30,0
34,0
29,0
28,0
27,1
68,0
67,1
73,0
72,0
71,2
69,2
70,0
59,0
57,0
63,0
66,0
64,0
65,2
54,0
60,0
58,0
62,1
56,1
61,0
55,0
85,1
80,1
83,0
81,0
77,0
82,0
84,0
79,0
78,1
90,0
91,0
96,0
94,1
95,0
92,2
93,2
89,0
88,2
47,0
49,0
48,0
50,2
75,0
47,0
54,1
46,0
76,0
55,0
48,0
49,0
45,1
85,0
84,0
87,1
86,1
79,0
81,0
82,0
83,0
88,0
80,0
53,0
33,0
31,0
30,1
34,1
32,0
37,4
39,0
40,0
36,0
35,0
38,0
77,0
51,1
91,1
52,0
44,0
73,0
60,0
59,0
58,0
61,0
57,0
62,1
56,0
70,2
72,0
67,0
66,0
65,0
69,1
64,1
63,0
68,0
71,0
23,0
20,0
21,1
22,0
50,0
74,1
88,0
89,0
26,1
25,0
28,0
24,0
23,0
27,0
103,0
99,2
96,0
102,0
101,0
98,0
97,0
100,0
110,1
108,1
109,0
107,0
106,0
105,0
104,0
65,0
69,0
64,2
70,1
83,1
80,0
79,0
77,2
78,1
76,1
75,0
74,0
82,0
73,0
72,0
81,0
71,2
67,1
68,0
66,0
51,1
31,0
32,0
49,0
114,3
44,0
43,0
36,0
35,0
80,0
79,0
138,0
135,0
137,0
125,0
128,0
127,0
124,0
134,1
126,0
136,1
133,0
131,1
132,0
130,0
129,0
139,0
123,1
110,0
112,0
111,0
109,0
118,0
117,2
119,0
120,0
116,0
115,2
20,1
19,0
18,3
36,0
29,3
46,0
25,0
49,2
48,0
30,1
44,0
39,0
38,1
41,0
37,0
40,0
43,0
42,0
27,0
26,0
31,0
45,0
47,0
28,3
32,1
35,2
34,0
33,0
16,2
15,1
14,0
89,4
88,0
87,0
91,0
70,5
56,0
57,1
54,1
58,0
59,0
63,0
64,0
65,0
62,0
61,0
60,0
53,0
55,0
66,0
69,0
68,0
67,0
78,2
44,0
46,0
37,0
38,1
29,2
40,0
41,0
39,0
42,0
36,0
19,1
21,1
20,0
18,0
65,1
68,2
71,1
73,1
70,0
72,0
62,0
59,0
66,0
58,0
63,0
64,1
60,0
61,3
67,0
74,0
69,0
75,0
78,0
77,0
76,0
37,0
38,0
42,0
47,1
48,0
50,2
44,0
39,0
45,0
57,0
43,1
46,1
51,1
49,0
41,0
40,0
52,0
55,1
56,2
54,0
53,2
79,0
110,0
109,4
108,0
104,0
106,0
107,0
102,0
105,0
103,1
101,0
126,1
128,1
130,0
129,0
127,1
26,0
25,0
29,0
30,1
31,0
28,0
27,0
32,0
17,0
24,0
18,0
23,0
20,0
21,0
22,1
19,0
14,2
86,2
63,0
81,0
53,0
50,1
46,2
48,0
58,0
56,0
57,0
61,0
55,0
60,2
59,0
47,0
49,0
54,1
52,0
51,0
85,0
83,1
65,0
67,0
64,0
66,1
70,3
72,1
71,0
73,2
68,0
69,0
84,1
82,1
62,0
74,0
79,0
75,0
80,2
78,0
76,0
77,0
21,0
19,0
22,0
31,0
28,0
27,0
20,0
30,0
33,2
24,0
34,0
29,1
25,1
32,1
23,0
26,0
39,0
42,1
67,0
72,2
48,1
45,0
46,0
47,2
49,0
58,1
53,0
51,0
54,0
56,0
52,1
55,0
57,0
62,0
63,1
65,0
60,1
61,0
64,1
66,0
50,0
59,0
75,0
74,1
68,1
69,1
86,0
85,0
84,0
82,1
79,0
93,0
75,1
74,1
91,0
72,0
71,0
77,0
94,0
83,0
92,1
78,0
76,0
80,1
81,0
89,0
90,0
87,0
88,0
48,0
54,1
53,0
80,4
66,0
67,0
65,0
69,0
79,0
68,0
78,0
77,0
76,0
72,0
75,0
73,0
74,0
70,0
71,0
59,1
53,2
50,8
10,0
39,2
42,0
41,0
40,0
38,1
33,0
34,2
31,0
32,0
30,0
36,0
43,0
26,0
27,0
28,1
29,0
37,0
35,1
17,0
13,1
16,1
12,0
14,0
15,2
11,0
18,0
23,1
25,0
21,0
22,0
24,2
19,0
20,0
60,0
58,1
48,0
45,0
46,0
49,0
47,1
44,1
50,0
52,1
51,1
78,0
27,0
30,0
29,0
28,0
23,0
26,0
24,0
25,0
106,1
72,2
71,0
68,1
67,2
66,0
64,1
63,0
65,0
62,1
69,1
42,0
43,0
38,0
40,1
108,0
107,0
33,0
18,1
17,0
15,0
22,0
10,1
12,0
9,0
11,0
13,0
8,0
14,0
16,1
21,0
19,0
20,1
80,0
87,0
86,0
83,0
84,3
82,0
81,0
85,0
99,0
105,1
101,0
104,0
103,0
98,0
102,0
100,0
95,1
93,1
89,0
92,0
96,0
91,0
90,0
94,0
88,0
79,0
97,1
29,0
22,0
28,1
36,1
17,0
23,0
34,1
33,0
32,0
31,3
30,0
20,2
21,0
19,1
18,0
35,1
26,0
24,2
25,0
27,0
69,1
75,0
72,0
74,0
73,0
77,0
76,0
78,0
70,2
63,0
62,0
88,2
82,0
81,0
83,1
87,0
84,2
86,0
85,0
55,1
54,2
52,1
59,0
57,0
58,0
42,0
41,0
119,0
115,0
121,1
116,1
118,2
120,0
122,0
123,0
117,0
63,1
67,0
68,0
77,0
85,1
87,0
91,0
86,0
92,0
89,1
88,0
83,0
82,1
84,1
90,1
94,0
95,1
73,0
80,0
66,0
78,1
79,0
72,0
74,0
93,1
75,1
76,0
69,0
71,0
70,0
81,2
64,0
65,0
39,2
26,1
29,0
28,0
102,0
87,0
100,0
79,1
99,0
86,0
85,0
84,0
82,0
81,0
83,0
88,0
103,2
77,1
89,4
98,0
101,0
73,0
74,0
75,0
97,0
93,0
92,1
95,1
96,0
94,0
90,1
9,1
23,1
25,0
24,0
28,0
29,0
27,1
46,0
45,0
34,1
36,0
30,0
31,1
39,0
38,1
37,2
42,0
35,0
40,0
43,0
33,0
41,0
107,0
106,0
34,1
50,0
44,0
52,0
51,0
31,0
32,0
33,0
35,0
64,0
71,0
65,1
66,0
67,0
70,0
72,0
74,0
73,0
75,0
76,0
69,0
68,0
77,0
78,0
80,1
79,0
85,0
94,0
54,0
63,0
62,0
86,0
99,0
101,0
98,2
84,1
83,1
90,1
53,0
87,0
88,0
82,1
81,0
103,0
96,1
93,2
61,0
60,0
91,0
57,0
56,0
55,0
58,1
59,0
92,0
104,0
102,0
89,0
100,0
97,0
95,0
124,0
121,0
123,0
122,0
119,0
126,2
127,0
125,0
118,0
120,1
128,1
114,0
116,0
115,1
117,0
20,0
25,0
27,0
23,0
22,0
21,1
26,1
24,0
42,0
41,0
40,0
43,0
39,1
38,0
49,1
46,0
47,0
48,1
45,0
90,0
89,0
100,0
101,0
109,1
108,0
106,0
113,0
110,3
112,2
111,3
115,0
114,0
107,0
122,0
96,0
104,0
118,0
103,0
123,0
116,0
99,1
105,1
97,2
117,2
102,0
121,0
120,0
98,0
119,1
88,0
91,0
92,2
93,1
94,1
95,0
78,0
79,0
81,1
80,1
85,3
76,3
73,3
87,1
62,0
61,0
60,2
54,3
83,0
22,0
27,0
24,0
28,0
25,0
26,1
46,6
23,1
62,1
63,0
109,1
110,0
111,0
112,1
108,0
94,0
81,0
71,0
69,0
70,1
97,0
98,0
88,0
95,0
86,0
87,0
92,0
90,0
89,0
79,0
66,0
93,0
68,0
67,0
73,0
78,1
104,1
99,0
80,0
76,0
75,0
96,0
72,0
91,0
105,0
82,0
77,1
84,0
83,0
85,0
101,2
100,1
103,1
102,0
74,1
45,1
46,1
47,0
42,0
43,0
44,0
41,0
48,1
40,0
39,0
49,0
51,0
52,1
53,1
50,0
54,1
46,1
47,0
37,0
33,0
34,0
32,1
35,2
36,0
31,0
30,1
26,0
40,0
39,0
41,0
27,0
29,0
43,1
38,1
42,0
44,0
24,1
17,0
19,0
18,0
14,0
15,0
16,0
23,0
21,0
22,0
61,0
62,0
72,1
71,1
74,1
73,0
66,0
69,0
68,0
67,0
70,0
59,1
58,0
60,0
65,1
75,4
64,0
63,0
77,0
57,0
23,0
24,0
26,0
25,0
86,1
84,0
85,1
101,0
102,0
104,0
103,0
106,0
107,0
105,2
75,0
93,0
91,0
89,0
94,0
92,0
90,1
82,0
81,0
80,0
83,0
98,0
99,0
96,0
95,0
97,0
77,0
100,0
76,2
40,0
37,0
39,0
38,0
41,0
63,0
64,3
45,1
43,0
46,0
50,0
49,0
48,0
44,0
47,0
51,0
62,0
61,0
53,2
60,0
52,0
54,0
59,0
56,0
57,0
58,0
55,0
