SNP,count,Frequency
0,261271,0.749772575308422
1,65120,0.186875658240235
2,16108,0.0462253240622498
3,4135,0.0118662599327913
4,1094,0.0031394651430408
5,370,0.00106179351272861
6,124,0.000355844312373912
7,70,0.000200879853759466
8,42,0.00012052791225568
9,44,0.000126267336648807
10,22,6.31336683244037e-05
11,10,2.86971219656381e-05
12,5,1.4348560982819e-05
13,2,5.73942439312761e-06
14,5,1.4348560982819e-05
15,7,2.00879853759466e-05
16,13,3.73062585553295e-05
17,8,2.29576975725105e-05
18,6,1.72182731793828e-05
19,1,2.86971219656381e-06
20,3,8.60913658969142e-06
21,3,8.60913658969142e-06
26,1,2.86971219656381e-06
28,2,5.73942439312761e-06
33,1,2.86971219656381e-06
