SNP,count,Frequency
0,316066,0.749637711236288
1,79036,0.187455677438482
2,19406,0.0460266824785058
3,4837,0.0114722798695523
4,1404,0.00332997331752149
5,416,0.000986658760747109
6,181,0.00042929143195968
7,72,0.000170767862437
8,66,0.000156537207233916
9,31,7.35250518825971e-05
10,17,4.03201897420694e-05
11,12,2.84613104061666e-05
12,12,2.84613104061666e-05
13,17,4.03201897420694e-05
14,7,1.66024310702639e-05
15,7,1.66024310702639e-05
16,10,2.37177586718055e-05
17,3,7.11532760154165e-06
18,3,7.11532760154165e-06
19,2,4.7435517343611e-06
20,3,7.11532760154165e-06
22,2,4.7435517343611e-06
24,4,9.48710346872221e-06
25,2,4.7435517343611e-06
26,1,2.37177586718055e-06
28,1,2.37177586718055e-06
29,1,2.37177586718055e-06
33,1,2.37177586718055e-06
34,3,7.11532760154165e-06
35,2,4.7435517343611e-06
