SNP,count,Frequency
0,249107,0.804120882668147
1,46458,0.149967074257234
2,10297,0.0332388601236975
3,2605,0.00840897646132194
4,747,0.00241132645551151
5,239,0.000771495345203817
6,128,0.000413185791573592
7,70,0.000225960979766808
8,41,0.000132348573863416
9,30,9.68404199000607e-05
10,15,4.84202099500303e-05
11,7,2.25960979766808e-05
12,9,2.90521259700182e-05
13,3,9.68404199000607e-06
14,7,2.25960979766808e-05
15,2,6.45602799333738e-06
16,1,3.22801399666869e-06
17,4,1.29120559866748e-05
19,2,6.45602799333738e-06
20,3,9.68404199000607e-06
21,3,9.68404199000607e-06
22,3,9.68404199000607e-06
25,1,3.22801399666869e-06
27,1,3.22801399666869e-06
30,1,3.22801399666869e-06
32,3,9.68404199000607e-06
34,1,3.22801399666869e-06
