SNP,count,Frequency
0,63053,0.634802218933422
1,23633,0.237931277497559
2,8239,0.082948241666415
3,2725,0.0274346350941839
4,972,0.0097858588299254
5,346,0.00348344357526151
6,156,0.00157056993566704
7,77,0.000775217211835654
8,41,0.000412777995912491
9,34,0.000342303703927432
10,23,0.00023155838795091
11,6,6.04065359871938e-05
12,8,8.05420479829251e-05
13,6,6.04065359871938e-05
14,1,1.00677559978656e-05
15,2,2.01355119957313e-05
16,3,3.02032679935969e-05
21,1,1.00677559978656e-05
26,1,1.00677559978656e-05
